Name,Diameter
Rabe,28.0
Strobel,57.1
Pecker,9.3
Milet,20.0
Kopff,9.7
Siebohme,26.7
Chimay,36.1
Bohrmann,22.5
Porter,9.2
Swings,45.5
Bower,36.4
Tana,26.1
Hill,26.1
Waterfield,30.6
Menelaus,72.0
Fabre,28.7
Heckmann,29.1
Bojeva,27.0
Comas Sola,30.6
Suomi,8.1
Roemera,9.6
Punkaharju,31.2
Wood,18.1
Granule,14.5
van den Bos,12.1
Felix,29.7
Dagmar,35.8
Minnaert,28.1
Groeneveld,27.4
Simonida,11.1
Kariba,12.3
Hveen,39.9
Nevanlinna,51.2
Per Brahe,14.1
Steinmetz,22.0
Iguassu,26.5
Toro,12.2
De Sitter,36.3
Glarona,33.9
Mayrhofer,31.7
Oort,40.6
Subbotina,36.6
Hertzsprung,38.7
Walbeck,19.6
Christophe,25.0
Zvezdara,20.7
Okavango,29.7
Kalahari,32.7
Barry,9.4
Tapio,10.7
Polit,29.3
Angola,59.5
Sy,19.2
Salli,23.1
Peter,27.1
Jens,18.9
Wells,40.0
Goffin,26.2
Klemola,31.3
Vladimir,34.8
Hoffmeister,26.3
Smuts,54.1
Heike,24.1
Zhongolovich,28.5
ITA,62.3
Floirac,30.1
Severny,26.5
Meyermann,8.7
Giclas,26.2
Schaifers,19.9
Schmidt,17.1
Harriet,14.1
Brouwer,64.2
Wright,6.3
Telamon,81.1
Herget,14.3
Cunningham,79.5
Lorbach,27.9
Naantali,29.0
Sandra,35.9
Cogshall,26.2
Wrubel,42.3
Slipher,24.5
Appenzella,20.9
Makover,56.7
Kuiper,36.0
Kippes,27.9
Schneller,33.1
Albitskij,21.4
Benguella,16.7
Raahe,23.5
Chiny,29.8
Patsayev,25.7
Zoya,18.6
Finsen,37.3
Woltjer,27.1
Riga,73.8
Koussevitzky,23.3
Titicaca,23.2
Dirikis,25.7
Bellerophon,15.4
Gilgamesh,19.2
Imhotep,24.7
Beethoven,30.4
Katanga,15.9
Laputa,48.9
Haworth,22.6
Miller,24.4
Kashirina,27.9
Nicholson,17.8
Mrkos,30.8
Ursa,34.9
Masaryk,40.6
Jarmila,25.7
Bengt,11.4
Stobbe,23.9
Lacroute,16.9
Carpenter,22.9
McElroy,21.1
Kovalevskaya,46.0
Deiphobus,122.7
Agenor,53.8
Marsden,50.3
Hughes,21.0
McCrosky,15.8
Shao,31.2
Rauma,23.8
Skip,11.2
Lowell,20.7
Pakhmutova,33.5
Konoshenkova,25.7
Gondola,18.8
Jakoba,21.2
Larink,17.5
Moravia,27.0
Shaposhnikov,96.9
Adzhimushkaj,29.7
Massevitch,18.2
Pobeda,21.8
Alekhin,17.4
Mikhailov,36.0
Schubart,80.1
Osiris,13.1
Horus,12.3
Lucifer,27.0
Jeffers,6.4
Lugano,24.8
Locarno,13.1
Loretta,30.0
Whipple,33.9
Jablunka,14.0
Iso-Heikkila,29.4
Lick,5.5
Hesburgh,35.5
Chandra,34.0
Guisan,24.6
Dufour,50.3
Bezovec,44.7
Alain,24.4
Sumeria,21.9
Caupolican,26.6
Shura,60.8
Tezcatlipoca,13.0
Fedynskij,38.0
Hopmann,35.5
Plaut,49.5
Kaplan,16.8
Delores,23.6
Shane,25.1
Leverrier,6.8
Hirayama,34.0
Euler,17.4
McCuskey,21.9
Konstitutsiya,50.3
Voloshina,34.8
Heinemann,22.1
van Albada,17.3
Ukko,21.5
West,26.5
Nortia,40.2
Ethel,36.3
Bistro,12.6
Payne-Gaposchkin,27.5
Chalonge,34.3
Lancelot,13.4
Ortutay,44.7
Wirt,7.8
Leningrad,27.3
Chang,25.2
Tamriko,30.4
Gawain,24.5
Rosemary,16.1
Roka,21.4
Thomsen,13.7
